date,ticker,open,high,low,close,share_volume,daily_return,dollar_volume
2020-01-02,AAPL,74.05999755859375,75.1500015258789,73.79750061035156,72.33386993408203,135480400,,9799821632.217407
2020-01-03,AAPL,74.2874984741211,75.1449966430664,74.125,71.63065338134766,146322800,-0.009721815705080017,10481197768.588257
2020-01-06,AAPL,73.44750213623047,74.98999786376953,73.1875,72.201416015625,118387200,0.007968133855190684,8547723478.125
2020-01-07,AAPL,74.95999908447266,75.2249984741211,74.37000274658203,71.86183166503906,108872000,-0.004703292114277224,7823741337.036133
2020-01-08,AAPL,74.29000091552734,76.11000061035156,74.29000091552734,73.017822265625,132079200,0.016086294682470914,9644135550.585938
2020-01-09,AAPL,76.80999755859375,77.60749816894531,76.55000305175781,74.56879425048828,170108400,0.0212410057810426,12684778279.87976
2020-01-10,AAPL,77.6500015258789,78.1675033569336,77.0625,74.73736572265625,140644800,0.0022606168419689876,10511421854.589844
2020-01-13,AAPL,77.91000366210938,79.26750183105469,77.7874984741211,76.3340835571289,121532000,0.021364384722869945,9277033842.86499
2020-01-14,AAPL,79.17500305175781,79.39250183105469,78.0425033569336,75.30332946777344,161954400,-0.013503195968600945,12195705541.955566
2020-01-15,AAPL,77.9625015258789,78.875,77.38749694824219,74.98062133789062,121923600,-0.004285443049645177,9141907283.752441
2020-01-16,AAPL,78.39749908447266,78.92500305175781,78.02249908447266,75.91986083984375,108829200,0.012526429965424857,8262297719.311523
2020-01-17,AAPL,79.06749725341797,79.68499755859375,78.75,76.7603759765625,137816400,0.011071083737783205,10578838679.736328
2020-01-21,AAPL,79.29750061035156,79.75499725341797,79.0,76.24018859863281,110843200,-0.006776769541729677,8450706472.875977
2020-01-22,AAPL,79.6449966430664,79.99749755859375,79.32749938964844,76.51231384277344,101832400,0.003569314939306345,7791432548.162842
2020-01-23,AAPL,79.4800033569336,79.88999938964844,78.9124984741211,76.88079071044922,104472000,0.004815915885552302,8031889967.102051
2020-01-24,AAPL,80.0625,80.8324966430664,79.37999725341797,76.65921020507812,146537600,-0.0028821309370453685,11233456681.347656
2020-01-27,AAPL,77.51499938964844,77.94249725341797,76.22000122070312,74.40501403808594,161940000,-0.029405418617825307,12049147973.327637
2020-01-28,AAPL,78.1500015258789,79.5999984741211,78.04750061035156,76.50989532470703,162234000,0.028289508628325244,12412506358.10852
2020-01-29,AAPL,81.11250305175781,81.9625015258789,80.34500122070312,78.11141967773438,216229200,0.02093225126280074,16889969787.780762
2020-01-30,AAPL,80.13500213623047,81.02249908447266,79.6875,77.99823760986328,126743200,-0.0014489823426337978,9885746229.034424
2020-01-31,AAPL,80.23249816894531,80.66999816894531,77.07250213623047,74.5398941040039,199588400,-0.0443387390771256,14877298200.387573
2020-02-03,AAPL,76.07499694824219,78.37249755859375,75.55500030517578,74.33518981933594,173788400,-0.0027462379324332264,12918593702.398682
2020-02-04,AAPL,78.82749938964844,79.91000366210938,78.40750122070312,76.78926849365234,136616400,0.033013686791959485,10490673420.236206
2020-02-05,AAPL,80.87999725341797,81.19000244140625,79.73750305175781,77.41544342041016,118826800,0.008154458807086762,9199029412.228394
2020-02-06,AAPL,80.64250183105469,81.30500030517578,80.06500244140625,78.32098388671875,105425600,0.011697155325856468,8257036718.847656
