date,ADA,BTC,DOGE,ETH,LINK
2020-01-01,0.0334579981863498,7200.17431640625,0.0020330001134425,130.802001953125,1.806640028953552
2020-01-02,0.0327510014176368,6985.47021484375,0.0020089999306946,127.4101791381836,1.7411439418792725
2020-01-03,0.034180000424385,7344.88427734375,0.0021450000349432,134.1717071533203,1.8097079992294312
2020-01-04,0.034595001488924,7410.65673828125,0.0022410000674426,135.06936645507812,1.8401329517364504
2020-01-05,0.0347209982573986,7411.3173828125,0.0024190000258386,136.2767791748047,1.8077869415283203
2020-01-06,0.037271998822689,7769.21923828125,0.002462999895215,144.3041534423828,1.937466025352478
2020-01-07,0.0370469987392425,8163.6923828125,0.0024329998996108,143.5439910888672,2.114098072052002
2020-01-08,0.0364350005984306,8079.86279296875,0.002292999997735,141.2581329345703,2.183605909347534
2020-01-09,0.0363590009510517,7879.0712890625,0.0022559999488294,138.9792022705078,2.186048984527588
2020-01-10,0.0368739999830722,8166.55419921875,0.0023560000117868,143.96377563476562,2.223958969116211
2020-01-11,0.0368250012397766,8037.53759765625,0.0023139999248087,142.92710876464844,2.2832469940185547
2020-01-12,0.0376899987459182,8192.494140625,0.0023809999693185,145.87393188476562,2.2451930046081543
2020-01-13,0.036965999752283,8144.1943359375,0.0023580000270158,144.22659301757812,2.192452907562256
2020-01-14,0.0416599996387958,8827.7646484375,0.0024699999485164,165.95535278320312,2.38992691040039
2020-01-15,0.042553000152111,8807.0107421875,0.0023690001107752,166.23068237304688,2.4049770832061768
2020-01-16,0.0413910001516342,8723.7861328125,0.0023449999280273,164.39100646972656,2.4844789505004883
2020-01-17,0.0449780002236366,8929.0380859375,0.0024900001008063,170.7799530029297,2.724108934402466
2020-01-18,0.0448510013520717,8942.80859375,0.002506999997422,175.3656768798828,2.7741050720214844
2020-01-19,0.0419789999723434,8706.2451171875,0.0024049999192357,166.9698486328125,2.6189510822296143
2020-01-20,0.0438730008900165,8657.642578125,0.002373999916017,167.12051391601562,2.697299003601074
2020-01-21,0.0459889993071556,8745.89453125,0.002375999931246,169.69715881347656,2.6735498905181885
2020-01-22,0.0456539988517761,8680.8759765625,0.0023229999933391,168.29415893554688,2.6455819606781006
2020-01-23,0.043333999812603,8406.515625,0.0022680000402033,162.92855834960938,2.462109088897705
2020-01-24,0.0450039990246295,8445.4345703125,0.0022760001011192,163.05117797851562,2.504390001296997
2020-01-25,0.043248001486063,8367.84765625,0.0022569999564439,161.283935546875,2.456526041030884
2020-01-26,0.0445809997618198,8596.830078125,0.0023050000891089,168.0771026611328,2.571582078933716
2020-01-27,0.0479120016098022,8909.8193359375,0.0023680001031607,170.93089294433594,2.609652042388916
2020-01-28,0.0528570003807544,9358.58984375,0.0024500000290572,176.3703155517578,2.655339002609253
2020-01-29,0.0535140000283718,9316.6298828125,0.0023900000378489,175.0503387451172,2.7853240966796875
2020-01-30,0.0560699999332428,9508.9931640625,0.0024399999529123,184.6904754638672,2.9129879474639893
2020-01-31,0.0537929981946945,9350.529296875,0.0023940000683069,180.16017150878903,2.823791027069092
2020-02-01,0.0560920014977455,9392.875,0.002422000048682,183.6739501953125,2.838953018188477
2020-02-02,0.0557680018246173,9344.365234375,0.0024679999332875,188.61753845214844,2.832581043243408
2020-02-03,0.0569790005683898,9293.521484375,0.0024399999529123,189.8650665283203,2.7746589183807373
2020-02-04,0.0559960007667541,9180.962890625,0.0025029999669641,189.25059509277344,2.7411210536956787
2020-02-05,0.0592309981584548,9613.423828125,0.0025820001028478,204.2302398681641,2.8456289768218994
2020-02-06,0.0597570016980171,9729.8017578125,0.0026529999449849,212.33908081054688,2.8846819400787354
2020-02-07,0.0597900003194808,9795.943359375,0.0027689998969435,222.72605895996097,3.3085319995880127
2020-02-08,0.059944000095129,9865.119140625,0.0031590000726282,223.14651489257812,3.414457082748413
2020-02-09,0.0618089996278286,10116.673828125,0.0032319999299943,228.5785675048828,3.4773130416870117
2020-02-10,0.060394000262022,9856.611328125,0.0029859999194741,223.522705078125,3.4114840030670166
2020-02-11,0.063228003680706,10208.236328125,0.0030410001054406,235.8511962890625,3.9755589962005615
2020-02-12,0.0683730021119117,10326.0546875,0.0030930000357329,265.4061279296875,4.025118827819824
2020-02-13,0.0685809999704361,10214.3798828125,0.0030259999912232,268.0992431640625,3.8744349479675297
2020-02-14,0.0705799981951713,10312.1162109375,0.0031300000846385,284.2174987792969,4.41437292098999
2020-02-15,0.0638630017638206,9889.4248046875,0.0029200001154094,264.72857666015625,4.304660797119141
2020-02-16,0.0626540035009384,9934.43359375,0.002773999935016,259.89471435546875,4.504170894622803
2020-02-17,0.0600420013070106,9690.142578125,0.0027119999285787,266.3634338378906,4.297008991241455
2020-02-18,0.0625969991087913,10141.99609375,0.0028389999642968,281.944580078125,4.543797016143799
2020-02-19,0.0576450005173683,9633.38671875,0.0026239999569952,259.76397705078125,4.4013261795043945
2020-02-20,0.0582600012421608,9608.4755859375,0.0026589999906718,257.949462890625,4.271368980407715
2020-02-21,0.0586399994790554,9686.44140625,0.0026479999069124,265.6006164550781,4.292057991027832
2020-02-22,0.0583360008895397,9663.181640625,0.0026010000146925,262.33172607421875,4.1029372215271
2020-02-23,0.0615100003778934,9924.515625,0.0026799999177455,273.754150390625,4.243481159210205
2020-02-24,0.0589599981904029,9650.1748046875,0.0025899999309331,265.2164306640625,3.913672924041748
2020-02-25,0.0563639998435974,9341.705078125,0.0024759999942034,247.81759643554688,3.51310396194458
